epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.7466,0.33486,0.82445,0.9906,0.98793,0.000194469,0.000194469,0.000194469
2,48.7956,0.38952,0.83386,0.97806,1.04383,0.000351812,0.000351812,0.000351812
3,64.1874,0.46881,0.81191,0.98433,0.95308,0.000470348,0.000470348,0.000470348
4,80.5107,0.45278,0.83072,0.98746,0.94389,0.000413364,0.000413364,0.000413364
5,96.2248,0.42612,0.80878,0.99373,0.89165,0.000355152,0.000355152,0.000355152
6,112.168,0.38489,0.84639,0.98746,0.74905,0.00029694,0.00029694,0.00029694
7,128.632,0.41368,0.82132,0.98746,0.78205,0.000238728,0.000238728,0.000238728
8,146.019,0.37351,0.84326,0.9906,0.71874,0.000180516,0.000180516,0.000180516
9,162.909,0.35077,0.84326,0.9906,0.71579,0.000122304,0.000122304,0.000122304
10,179.784,0.35495,0.84639,0.9906,0.76181,6.4092e-05,6.4092e-05,6.4092e-05
