epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9915,2.12015,4.60123,1.90273,0.00994,0.93524,0.09558,0.0306,1.66522,3.57142,1.62723,0.000232591,0.000232591,0.000232591
2,32.725,1.71339,3.68367,1.59564,0.00588,0.95929,0.11756,0.04136,1.84677,3.19265,1.77997,0.000461273,0.000461273,0.000461273
3,41.4985,1.81632,3.30706,1.60047,0.35888,0.34158,0.22655,0.09832,1.99896,2.60063,1.75493,0.000680531,0.000680531,0.000680531
4,50.2048,1.79718,2.99909,1.548,0.1866,0.54225,0.29901,0.11796,1.95999,2.98589,1.79049,0.000671588,0.000671588,0.000671588
5,58.9549,1.80381,2.82024,1.56108,0.2399,0.51869,0.3193,0.12734,1.96841,2.55075,1.91077,0.000657451,0.000657451,0.000657451
6,67.8508,1.73432,2.63216,1.52658,0.28954,0.47506,0.38229,0.16471,1.90493,2.25672,1.81367,0.000643314,0.000643314,0.000643314
7,76.6994,1.69709,2.48661,1.47644,0.44338,0.32258,0.3241,0.14366,1.90428,2.48538,1.76353,0.000629177,0.000629177,0.000629177
8,85.5208,1.6915,2.38511,1.48137,0.33102,0.56261,0.39641,0.18491,1.87231,2.26166,1.68065,0.00061504,0.00061504,0.00061504
9,94.3786,1.69866,2.28981,1.46706,0.30068,0.64602,0.40714,0.18226,1.89543,2.09935,1.73494,0.000600902,0.000600902,0.000600902
10,103.208,1.6804,2.2215,1.44446,0.35499,0.72009,0.48816,0.22776,1.84808,1.8202,1.65849,0.000586765,0.000586765,0.000586765
11,112.072,1.65379,2.18946,1.43823,0.37587,0.66941,0.47721,0.21984,1.88015,1.94503,1.71785,0.000572628,0.000572628,0.000572628
12,120.916,1.64182,2.04312,1.41593,0.32673,0.60633,0.43881,0.20112,1.89877,1.96274,1.73188,0.000558491,0.000558491,0.000558491
13,129.759,1.67166,2.06762,1.43607,0.34606,0.55151,0.46215,0.20343,1.9423,1.93047,1.7768,0.000544354,0.000544354,0.000544354
14,138.629,1.63033,1.94935,1.39548,0.3842,0.71516,0.5246,0.23296,1.99844,1.84121,1.79126,0.000530216,0.000530216,0.000530216
15,147.528,1.61254,1.94228,1.3979,0.36478,0.71025,0.48167,0.22692,1.94611,1.85221,1.71368,0.000516079,0.000516079,0.000516079
16,156.404,1.61687,1.88625,1.38933,0.34387,0.67255,0.45807,0.20469,1.90412,1.9454,1.75102,0.000501942,0.000501942,0.000501942
17,165.279,1.60524,1.84949,1.38833,0.36632,0.61506,0.50969,0.23448,1.96059,1.81514,1.73585,0.000487805,0.000487805,0.000487805
18,174.215,1.60989,1.77809,1.37762,0.41743,0.58562,0.50939,0.23294,1.95956,1.86221,1.72268,0.000473668,0.000473668,0.000473668
19,183.072,1.59475,1.79712,1.37929,0.38153,0.69277,0.53549,0.23337,1.95869,1.76263,1.7962,0.00045953,0.00045953,0.00045953
20,191.991,1.5629,1.70527,1.36007,0.41038,0.67248,0.52547,0.2368,1.9459,1.75777,1.70454,0.000445393,0.000445393,0.000445393
21,200.896,1.56753,1.71116,1.37826,0.29628,0.52529,0.37329,0.16306,1.97782,2.07448,1.76694,0.000431256,0.000431256,0.000431256
22,209.777,1.58638,1.68676,1.35964,0.4017,0.55882,0.48026,0.20404,2.03996,1.96205,1.80588,0.000417119,0.000417119,0.000417119
23,218.702,1.57526,1.67356,1.34875,0.40204,0.61844,0.53404,0.23182,1.95364,1.73568,1.6983,0.000402982,0.000402982,0.000402982
24,227.604,1.55774,1.63667,1.35209,0.38615,0.73194,0.51536,0.24236,1.91947,1.76367,1.71188,0.000388844,0.000388844,0.000388844
25,236.485,1.52666,1.61091,1.34362,0.48464,0.54442,0.55818,0.2545,1.92385,1.79216,1.71683,0.000374707,0.000374707,0.000374707
26,245.374,1.52262,1.6,1.3549,0.38487,0.67677,0.55701,0.24244,1.96268,1.74162,1.76476,0.00036057,0.00036057,0.00036057
27,254.344,1.52398,1.57362,1.35441,0.40432,0.59965,0.5304,0.23469,1.97183,1.70715,1.73869,0.000346433,0.000346433,0.000346433
28,263.233,1.5391,1.52649,1.36465,0.36815,0.63656,0.47474,0.21448,1.93114,1.84428,1.67751,0.000332296,0.000332296,0.000332296
29,272.128,1.49834,1.54108,1.33421,0.39621,0.65136,0.49456,0.22747,2.00906,1.89726,1.75443,0.000318158,0.000318158,0.000318158
30,281.012,1.50253,1.48228,1.33427,0.42701,0.55489,0.50191,0.23613,1.93189,1.78426,1.70502,0.000304021,0.000304021,0.000304021
31,289.912,1.50015,1.46646,1.33865,0.37227,0.62849,0.4394,0.20563,1.93508,1.92725,1.67327,0.000289884,0.000289884,0.000289884
32,298.811,1.50289,1.45583,1.31425,0.36672,0.54664,0.47882,0.21705,2.00382,2.04685,1.78377,0.000275747,0.000275747,0.000275747
33,307.691,1.47856,1.42369,1.32102,0.41773,0.54504,0.46286,0.21023,2.02678,1.93173,1.75077,0.00026161,0.00026161,0.00026161
34,316.572,1.46332,1.41762,1.29701,0.43726,0.618,0.50851,0.24379,1.93008,1.82656,1.68606,0.000247472,0.000247472,0.000247472
35,325.482,1.475,1.39007,1.29323,0.44646,0.61128,0.53845,0.23939,2.05303,1.70737,1.7535,0.000233335,0.000233335,0.000233335
36,334.873,1.46076,1.35965,1.30493,0.41882,0.57498,0.49263,0.23474,1.92289,1.81953,1.66852,0.000219198,0.000219198,0.000219198
