epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4941,0.70356,0.47216,1.01991,0.98839,0.98361,0.98662,0.84442,0.68813,0.25637,1.00435,0.000274917,0.000274917,0.000274917
2,69.756,0.72372,0.48364,1.02404,0.99195,0.98182,0.98502,0.83958,0.64723,0.26073,0.99158,0.000547114,0.000547114,0.000547114
3,97.6652,0.77681,0.52346,1.05649,0.9869,0.98439,0.98581,0.7858,0.83104,0.30668,1.06324,0.000813812,0.000813812,0.000813812
4,125.451,0.78706,0.53515,1.04875,0.99152,0.98308,0.98714,0.80788,0.80261,0.29721,1.05507,0.00080826,0.00080826,0.00080826
5,153.38,0.79501,0.54223,1.0623,0.98776,0.97814,0.98441,0.82203,0.70444,0.29209,0.99977,0.000800013,0.000800013,0.000800013
6,181.475,0.78328,0.53492,1.05915,0.99045,0.98648,0.98548,0.83163,0.69368,0.28577,0.99392,0.000791767,0.000791767,0.000791767
7,209.525,0.78813,0.53031,1.05664,0.98373,0.98464,0.98584,0.8138,0.75509,0.2905,1.02872,0.00078352,0.00078352,0.00078352
8,237.735,0.78632,0.54499,1.06181,0.99127,0.98158,0.9843,0.8095,0.79586,0.30737,1.02978,0.000775273,0.000775273,0.000775273
9,265.989,0.78715,0.52254,1.05406,0.98713,0.97946,0.98351,0.83595,0.64941,0.27975,0.9985,0.000767026,0.000767026,0.000767026
10,294.32,0.78207,0.53824,1.04827,0.99508,0.98398,0.98619,0.81901,0.73041,0.28589,1.031,0.00075878,0.00075878,0.00075878
11,322.565,0.78513,0.53035,1.05386,0.99383,0.98269,0.98668,0.84343,0.64432,0.26832,0.98874,0.000750533,0.000750533,0.000750533
12,351.081,0.79446,0.52896,1.05875,0.99425,0.98454,0.987,0.83284,0.66859,0.27724,1.01996,0.000742286,0.000742286,0.000742286
13,379.342,0.79171,0.55185,1.06135,0.98197,0.98201,0.98324,0.81779,0.71313,0.28422,1.02626,0.00073404,0.00073404,0.00073404
14,407.784,0.79051,0.53202,1.06497,0.98854,0.98276,0.98363,0.84433,0.63714,0.26655,0.99582,0.000725793,0.000725793,0.000725793
15,436.145,0.76988,0.54019,1.05637,0.99369,0.98372,0.98499,0.84035,0.62165,0.27086,0.99593,0.000717546,0.000717546,0.000717546
16,464.479,0.77446,0.51959,1.04723,0.9949,0.98501,0.98687,0.83863,0.67711,0.27575,0.99474,0.000709299,0.000709299,0.000709299
17,492.861,0.78198,0.53651,1.05723,0.99618,0.98547,0.98781,0.84544,0.62418,0.26245,0.983,0.000701053,0.000701053,0.000701053
18,521.209,0.77953,0.5279,1.05544,0.99351,0.98392,0.98677,0.83771,0.67014,0.26946,1.00868,0.000692806,0.000692806,0.000692806
19,549.653,0.78316,0.54434,1.05837,0.99469,0.98205,0.98786,0.84955,0.65139,0.26025,0.99322,0.000684559,0.000684559,0.000684559
20,578.126,0.78266,0.53535,1.06078,0.9922,0.98138,0.98436,0.81012,0.75135,0.28515,1.035,0.000676313,0.000676313,0.000676313
21,606.536,0.77759,0.52127,1.04845,0.98668,0.98373,0.98616,0.83567,0.67762,0.27482,1.00479,0.000668066,0.000668066,0.000668066
22,634.863,0.77928,0.53143,1.05317,0.99322,0.98497,0.98679,0.81654,0.74205,0.2786,1.02342,0.000659819,0.000659819,0.000659819
23,663.486,0.78517,0.54192,1.05669,0.99126,0.98198,0.98523,0.84437,0.6417,0.26239,0.99762,0.000651573,0.000651573,0.000651573
24,691.967,0.77036,0.52295,1.05121,0.99041,0.98195,0.98756,0.85268,0.64627,0.26118,0.9839,0.000643326,0.000643326,0.000643326
