epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7535,0.36822,0.34179,0.6138,0.82447,0.99958,1,0.995,0.95112,0.99958,1,0.995,0.96549,0.31311,0.25257,0.40494,0.80712,0.000658915,0.000658915,0.000658915
2,59.3612,0.46883,0.43704,0.62559,0.84967,0.98164,0.99342,0.99474,0.91497,0.98164,0.99342,0.99474,0.92713,0.39335,0.36214,0.6275,0.83119,0.00131246,0.00131246,0.00131246
3,80.8298,0.50398,0.48917,0.56651,0.85778,0.96808,0.99775,0.99234,0.91989,0.96808,0.99775,0.99234,0.94447,0.40334,0.29708,0.55242,0.8236,0.0019528,0.0019528,0.0019528
4,102.279,0.49862,0.4217,0.50162,0.84841,0.98002,0.968,0.99106,0.92646,0.98002,0.968,0.99106,0.93417,0.37691,0.32923,0.53648,0.81932,0.0019406,0.0019406,0.0019406
5,123.786,0.47312,0.40486,0.44322,0.85089,0.99885,1,0.995,0.93446,0.99885,1,0.995,0.95587,0.36154,0.27744,0.31257,0.81404,0.0019208,0.0019208,0.0019208
6,145.354,0.44791,0.38728,0.40509,0.84651,0.9991,1,0.995,0.95774,0.9991,1,0.995,0.96852,0.30441,0.24341,0.28303,0.80918,0.001901,0.001901,0.001901
7,167.202,0.40763,0.36625,0.36736,0.83486,0.99505,1,0.995,0.95659,0.99505,1,0.995,0.97616,0.32305,0.26294,0.27083,0.81646,0.0018812,0.0018812,0.0018812
8,188.905,0.40259,0.35622,0.35462,0.84026,0.99938,1,0.995,0.94261,0.99938,1,0.995,0.95535,0.32142,0.27781,0.25365,0.80783,0.0018614,0.0018614,0.0018614
9,210.603,0.38335,0.35666,0.33954,0.83319,0.9973,1,0.995,0.95897,0.9973,1,0.995,0.96508,0.28265,0.25603,0.26277,0.80299,0.0018416,0.0018416,0.0018416
10,232.332,0.38578,0.35238,0.33148,0.82892,0.99517,1,0.995,0.96848,0.99517,1,0.995,0.9793,0.26266,0.24826,0.24596,0.79899,0.0018218,0.0018218,0.0018218
11,254.151,0.36239,0.35298,0.31707,0.82481,0.99843,1,0.995,0.96598,0.99843,1,0.995,0.96725,0.26449,0.25185,0.22828,0.80211,0.001802,0.001802,0.001802
12,276.144,0.37035,0.33976,0.31342,0.83262,0.99919,1,0.995,0.96489,0.99919,1,0.995,0.97496,0.28757,0.23584,0.23462,0.80345,0.0017822,0.0017822,0.0017822
13,297.898,0.37391,0.34186,0.31743,0.83044,0.99946,1,0.995,0.98212,0.99946,1,0.995,0.98218,0.25891,0.2415,0.22609,0.79976,0.0017624,0.0017624,0.0017624
14,319.767,0.35665,0.3293,0.30471,0.82659,0.9995,1,0.995,0.97699,0.9995,1,0.995,0.97823,0.23481,0.22122,0.21583,0.7931,0.0017426,0.0017426,0.0017426
15,341.662,0.34839,0.32092,0.29749,0.82641,0.99927,1,0.995,0.97571,0.99927,1,0.995,0.97448,0.25612,0.22772,0.22961,0.80022,0.0017228,0.0017228,0.0017228
16,363.471,0.33985,0.32073,0.2914,0.8234,0.98826,1,0.995,0.98338,0.98826,1,0.995,0.97969,0.25175,0.22484,0.22541,0.79833,0.001703,0.001703,0.001703
17,385.309,0.33753,0.32831,0.28854,0.82857,0.99945,1,0.995,0.97205,0.99945,1,0.995,0.97152,0.23708,0.23699,0.20673,0.79663,0.0016832,0.0016832,0.0016832
18,407.104,0.32076,0.31007,0.27603,0.81719,0.99915,1,0.995,0.98525,0.99915,1,0.995,0.98335,0.22721,0.22899,0.19916,0.7924,0.0016634,0.0016634,0.0016634
